"","record_id","time_point","participant_id","date","municipality","facilitator","facility","consent","sex","position","position_other","age","position_years","position_months","patient_volume","previous_training","previous_training_desc","post_module_attendance","post_ha","post_hu","post_re","post_la","post_s","post_au","post_n","fup_module_attendance","fup_ha","fup_hu","fup_re","fup_la","fup_s","fup_au","fup_n","knowledge_7l","knowledge_7a","knowledge_7b","knowledge_7c","knowledge_7d","knowledge_7e","knowledge_7f","knowledge_7g","knowledge_7h","knowledge_7i","knowledge_7j","knowledge_7k","knowledge_7m","knowledge_7n","knowledge_7o","knowledge_7p","knowledge_7q","knowledge_7r","knowledge_7s","knowledge_8a","knowledge_8b","knowledge_8c","knowledge_8d","knowledge_8e","knowledge_8f","knowledge_8g","knowledge_8h","knowledge_8i","knowledge_9a","knowledge_9b","knowledge_9c","knowledge_9d","knowledge_9e","knowledge_10a","knowledge_10b","knowledge_10c","knowledge_10d","knowledge_10e","knowledge_10f","knowledge_10g","knowledge_10h","knowledge_10i","knowledge_10j","attitudes_11a","attitudes_11b","attitudes_11c","attitudes_11d","attitudes_11e","attitudes_11f","attitudes_11g","attitudes_11h","attitudes_11i","attitudes_11j","attitudes_12a","attitudes_12b","attitudes_12c","attitudes_12d","attitudes_12e","attitudes_12f","attitudes_12g","attitudes_13a","attitudes_13b","attitudes_13c","attitudes_13d","attitudes_13e","attitudes_13f","attitudes_14a","attitudes_14b","attitudes_14c","attitudes_14d","attitudes_14e","attitudes_14f","system_support_15a","system_support_15b","system_support_15c","system_support_15d","system_support_15e","system_support_15f","confidence_16a","confidence_16b","confidence_16c","confidence_16d","confidence_16e","confidence_16f","confidence_16g","confidence_16h","confidence_16i","confidence_16j","empathy_17a","empathy_17b","empathy_17c","empathy_17d","empathy_17e","empathy_17f","empathy_17g","empathy_17h","empathy_17i","empathy_17j","empathy_17k","empathy_17l","empathy_17m","empathy_17n","empathy_17o","empathy_17p","practices_18","practices_18yes_number","practices_19a","practices_19b","practices_19c","practices_19d","practices_19e","practices_19f","practices_19g","practices_19h","practices_19i","harmonia_learning_lab_curriculum_pre_evaluation_complete"
"1",1,"Pre","OL_22111976",2021-06-14,"Dili","Dra. Lidia Gomes","INS","Sin","Feto","c. Parteira",NA,"d. Idade tinan 45-54","24",NA,"e. 60 ka liu","b. Lae --favór ida muda ba iha Seksaun II, pergunta 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","2. La Loos","2. La Loos","2. La Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","2. La Loos","1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","2. La Loos","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","2. Lae","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","2. Lae","1. Sim","2. Lae","4. Konkorda","3. Netral","2. La konkorda","5. Konkorda Liu","3. Netral","4. Konkorda","1. La konkorda Liu","2. La konkorda","1. La konkorda Liu","1. La konkorda Liu","2. Dala Ruma Aseita","2. Dala Ruma Aseita","1. Aseita","1. Aseita","3. Nunka aseita","1. Aseita","1. Aseita","4. Konkorda","5. Konkorda Liu","2. La konkorda","4. Konkorda","1. La konkorda Liu","4. Konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","1. La konkorda Liu","4. Konkorda","1. Sin","1. Sin","1. Sin","2. Lae","1. Sin","1. Sin","1. La prep Liu","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","2. Prep Naton","3. Prep Sufisiente","2. Prep Naton","2. Prep Naton","3. Prep Sufisiente","2. Prep Naton","3. Dala ruma","2. Dala balu","4. Dala barak","2. Dala balu","5. Sempre","3. Dala ruma","2. Dala balu","3. Dala ruma","2. Dala balu","2. Dala balu","1. Nunka","2. Dala balu","5. Sempre","2. Dala balu","1. Nunka","3. Dala ruma","b. Lae",NA,"1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","Complete"
"2",2,"Pre","ZG02101991",2021-06-14,"Dili","Dra.Lidia Gomes","HAI","Sin","Feto","c. Parteira",NA,"b. Idade tinan 25-34","1","6","b. menus husi 20","b. Lae --favór ida muda ba iha Seksaun II, pergunta 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","2. La Loos","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","2. Lae","1. Sim","1. Sim","1. Sim","1. Sim","4. Konkorda","2. La konkorda","2. La konkorda","4. Konkorda","4. Konkorda","2. La konkorda","3. Netral","4. Konkorda","2. La konkorda","2. La konkorda","2. Dala Ruma Aseita","3. Nunka aseita","3. Nunka aseita","1. Aseita","2. Dala Ruma Aseita","1. Aseita","1. Aseita","2. La konkorda","4. Konkorda","4. Konkorda","4. Konkorda","2. La konkorda","2. La konkorda","2. La konkorda","4. Konkorda","2. La konkorda","4. Konkorda","2. La konkorda","2. La konkorda","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. La prep Liu","2. Prep Naton","3. Prep Sufisiente","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","3. Prep Sufisiente","4. Prep Liu","1. Nunka","3. Dala ruma","1. Nunka","3. Dala ruma","1. Nunka","3. Dala ruma","4. Dala barak","1. Nunka","4. Dala barak","1. Nunka","2. Dala balu","1. Nunka","4. Dala barak","3. Dala ruma","3. Dala ruma","4. Dala barak","b. Lae",NA,"1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","Complete"
"3",3,"Pre","IG18081977",2021-06-14,"Dili","Dra. LIDIA GOMES","HAI","Sin","Feto","c. Parteira",NA,"c.	Idade tinan 35-44","23","8","a. Agora dadaun la fo kuidadu saúde ba pasiente","b. Lae --favór ida muda ba iha Seksaun II, pergunta 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3. La Hatene","2. La Loos","2. La Loos","2. La Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","2. La Loos","1. Loos","2. La Loos","2. La Loos","1. Loos","3. La Hatene","2. La Loos","1. Sim","1. Sim","2. Lae","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","1. Sim","2. Lae","1. Sim","2. Lae","2. Lae","3. La hatene","4. Konkorda","2. La konkorda","2. La konkorda","4. Konkorda","4. Konkorda","4. Konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","2. La konkorda","5. Konkorda Liu","2. La konkorda","4. Konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","4. Dala barak","1. Nunka","5. Sempre","5. Sempre","5. Sempre","5. Sempre","1. Nunka","4. Dala barak","4. Dala barak","2. Dala balu","1. Nunka","1. Nunka","4. Dala barak","1. Nunka","3. Dala ruma","4. Dala barak","b. Lae",NA,"1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","Complete"
"4",4,"Pre","YA07102021",2021-06-14,"Dili","Dra.Lidia Gomes","HAI","Sin","Feto","c. Parteira",NA,"c.	Idade tinan 35-44","18","10","a. Agora dadaun la fo kuidadu saúde ba pasiente","a. Sin","Formasaun halo iha tinan 2013 iha pradet ho tema: Oinsa identifika kanek tamba hetan violensia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Sim","1. Sim","1. Sim","2. Lae","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","1. Sim","5. Konkorda Liu","2. La konkorda","1. La konkorda Liu","5. Konkorda Liu","4. Konkorda","2. La konkorda","2. La konkorda","5. Konkorda Liu","2. La konkorda","4. Konkorda","2. Dala Ruma Aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","1. La konkorda Liu","5. Konkorda Liu","1. La konkorda Liu","4. Konkorda","1. La konkorda Liu","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","3. Netral","2. La konkorda","2. La konkorda","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","3. Prep Sufisiente","5. Sempre","1. Nunka","2. Dala balu","1. Nunka","5. Sempre","5. Sempre","1. Nunka","5. Sempre","5. Sempre","1. Nunka","1. Nunka","1. Nunka","5. Sempre","1. Nunka","1. Nunka","2. Dala balu","b. Lae",NA,"1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","Complete"
"5",5,"Pre","DMFS210965",2021-06-14,"DILI","Dra.Lidia Gomes","INS","Sin","Feto","c. Parteira",NA,"e.	Idade 55 ba leten",NA,NA,"a. Agora dadaun la fo kuidadu saúde ba pasiente","a. Sin","Ezaminasaun Forensik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","2. La Loos","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","1. Sim","1. Sim","2. Lae","2. Lae","1. Sim","1. Sim","2. Lae","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","1. Sim","2. Lae","1. Sim","1. Sim","1. Sim","3. La hatene","4. Konkorda","3. Netral","3. Netral","4. Konkorda","4. Konkorda","3. Netral","3. Netral","2. La konkorda","4. Konkorda","2. La konkorda","1. Aseita","1. Aseita","1. Aseita","3. Nunka aseita","3. Nunka aseita","1. Aseita","1. Aseita","4. Konkorda","4. Konkorda","2. La konkorda","2. La konkorda","2. La konkorda","3. Netral","2. La konkorda","2. La konkorda","4. Konkorda","3. Netral","4. Konkorda","3. Netral","2. Lae","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","2. Prep Naton","3. Prep Sufisiente","4. Prep Liu","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","4. Prep Liu","3. Prep Sufisiente","5. Sempre","3. Dala ruma","5. Sempre","3. Dala ruma","5. Sempre","3. Dala ruma","3. Dala ruma","3. Dala ruma","5. Sempre","3. Dala ruma","1. Nunka","3. Dala ruma","3. Dala ruma","5. Sempre","2. Dala balu","4. Dala barak","b. Lae",NA,"2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","Complete"
"6",6,"Pre","TS19172",2021-06-14,"Dili","Dra.Lidia Gomes","INS","Sin","Feto","c. Parteira",NA,"d. Idade tinan 45-54","30",NA,"a. Agora dadaun la fo kuidadu saúde ba pasiente","a. Sin","Topiku nebe hetan: Violensia bazeia ba generu. Formasaun fornese husi Fokupers iha Farol Dili iha 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","2. La Loos","2. La Loos","1. Loos","1. Loos","2. La Loos","1. Loos","3. La Hatene","2. La Loos","1. Sim","1. Sim","3. La hatene","2. Lae","2. Lae","1. Sim","2. Lae","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","2. Lae","1. Sim","2. Lae","4. Konkorda","4. Konkorda","2. La konkorda","5. Konkorda Liu","3. Netral","4. Konkorda","2. La konkorda","3. Netral","3. Netral","1. La konkorda Liu","3. Nunka aseita","4. La Hatene","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","2. Dala Ruma Aseita","2. Dala Ruma Aseita","3. Netral","5. Konkorda Liu","3. Netral","3. Netral","2. La konkorda","1. La konkorda Liu","2. La konkorda","2. La konkorda","4. Konkorda","3. Netral","2. La konkorda","3. Netral","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","2. Prep Naton","1. La prep Liu","2. Prep Naton","2. Prep Naton","3. Prep Sufisiente","3. Prep Sufisiente","2. Prep Naton","2. Prep Naton","3. Prep Sufisiente","3. Prep Sufisiente","3. Dala ruma","3. Dala ruma","4. Dala barak","4. Dala barak","4. Dala barak","3. Dala ruma","1. Nunka","4. Dala barak","3. Dala ruma","2. Dala balu","1. Nunka","1. Nunka","2. Dala balu","2. Dala balu","2. Dala balu","2. Dala balu","b. Lae",NA,"2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","Complete"
"7",7,"Pre","Ns06081964",2021-06-14,"Dili","Dra.Lidia Gomes","INS","Sin","Feto","c. Parteira",NA,"e.	Idade 55 ba leten","20",NA,"a. Agora dadaun la fo kuidadu saúde ba pasiente","a. Sin","Identifika ema nebe hetan violensia, tipu violensia no rede referal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","3. La Hatene","1. Loos","1. Loos","1. Loos","3. La Hatene","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","3. La Hatene","3. La Hatene","1. Loos","3. La Hatene","2. La Loos","1. Sim","1. Sim","3. La hatene","3. La hatene","3. La hatene","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","3. La hatene","1. Sim","1. Sim","3. La hatene","3. La hatene","2. Lae","2. Lae","3. La hatene","1. Sim","3. La hatene","3. La hatene","1. Sim","3. Netral","2. La konkorda","3. Netral","4. Konkorda","1. La konkorda Liu","1. La konkorda Liu","4. Konkorda","4. Konkorda","2. La konkorda","2. La konkorda","4. La Hatene","4. La Hatene","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","4. La Hatene","4. La Hatene","3. Netral","4. Konkorda","3. Netral","4. Konkorda","2. La konkorda","2. La konkorda","3. Netral","4. Konkorda","4. Konkorda","3. Netral","2. La konkorda","3. Netral","1. Sin","1. Sin","1. Sin","3. La hatene","1. Sin","1. Sin","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","3. Dala ruma","1. Nunka","3. Dala ruma","3. Dala ruma","3. Dala ruma","3. Dala ruma","2. Dala balu","3. Dala ruma","3. Dala ruma","3. Dala ruma","1. Nunka","3. Dala ruma","3. Dala ruma","1. Nunka","2. Dala balu","2. Dala balu","b. Lae",NA,"1. Sin","2. Lae","1. Sin","1. Sin","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","Complete"
"8",8,"Pre","DMSA_5971",2021-06-14,"Dili","Dra.Lidia Gomes","INS","Sin","Feto","g. Jerente",NA,"d. Idade tinan 45-54",NA,NA,"a. Agora dadaun la fo kuidadu saúde ba pasiente","b. Lae --favór ida muda ba iha Seksaun II, pergunta 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","2. La Loos","2. La Loos","2. La Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","2. Lae","5. Konkorda Liu","2. La konkorda","2. La konkorda","5. Konkorda Liu","4. Konkorda","2. La konkorda","3. Netral","4. Konkorda","2. La konkorda","1. La konkorda Liu","2. Dala Ruma Aseita","2. Dala Ruma Aseita","2. Dala Ruma Aseita","3. Nunka aseita","3. Nunka aseita","2. Dala Ruma Aseita","2. Dala Ruma Aseita","5. Konkorda Liu","4. Konkorda","3. Netral","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","3. Netral","2. La konkorda","2. La konkorda","3. Netral","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","3. Prep Sufisiente","3. Prep Sufisiente","1. La prep Liu","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","2. Prep Naton","3. Dala ruma","2. Dala balu","1. Nunka","3. Dala ruma","4. Dala barak","3. Dala ruma","2. Dala balu","4. Dala barak","3. Dala ruma","2. Dala balu","2. Dala balu","1. Nunka","3. Dala ruma","2. Dala balu","1. Nunka","2. Dala balu","c. La aplikavel",NA,"1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","Complete"
"9",9,"Post","NS",2021-08-06,"Dili","Dra.Lidia Gomes","INS","Sin","Feto","h. Seluk (favór espesifika):__________________________________________","Formador","e.	Idade 55 ba leten","25","5","a. Agora dadaun la fo kuidadu saúde ba pasiente",NA,NA,14,"Hatene","Husu","Reasaun","Labele","Segredu","Aumenta","Nafatin",NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","2. La Loos","1. Loos","1. Loos","2. La Loos","2. La Loos","2. La Loos","2. La Loos","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","2. Lae","1. Sim","2. Lae","4. Konkorda","4. Konkorda","2. La konkorda","5. Konkorda Liu","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","3. Nunka aseita","4. La Hatene","3. Nunka aseita","2. La konkorda","4. Konkorda","2. La konkorda","4. Konkorda","2. La konkorda","4. Konkorda","2. La konkorda","4. Konkorda","4. Konkorda","4. Konkorda","4. Konkorda","2. La konkorda","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","4. Prep Liu","5. Sempre","3. Dala ruma","5. Sempre","5. Sempre","5. Sempre","3. Dala ruma","1. Nunka","5. Sempre","1. Nunka","1. Nunka","1. Nunka","1. Nunka","5. Sempre","5. Sempre","1. Nunka","5. Sempre",NA,NA,"2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","2. Lae","Complete"
"10",10,"Post","OL22111976",2021-06-18,"Dili","Dra.Lidia Gomes","INS","Sin","Feto","c. Parteira",NA,"d. Idade tinan 45-54","24",NA,"e. 60 ka liu",NA,NA,14,"Hatene","Husu","Relasaun","Labele","Segredu","Aumenta","Nafatin",NA,NA,NA,NA,NA,NA,NA,NA,"1. Loos","1. Loos","2. La Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","1. Loos","2. La Loos","2. La Loos","1. Loos","1. Loos","1. Loos","1. Loos","1. Loos","2. La Loos","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","1. Sim","2. Lae","2. Lae","2. Lae","2. Lae","1. Sim","1. Sim","1. Sim","2. Lae","4. Konkorda","4. Konkorda","1. La konkorda Liu","5. Konkorda Liu","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","1. La konkorda Liu","2. Dala Ruma Aseita","2. Dala Ruma Aseita","1. Aseita","1. Aseita","3. Nunka aseita","1. Aseita","1. Aseita","5. Konkorda Liu","4. Konkorda","2. La konkorda","3. Netral","4. Konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","2. La konkorda","4. Konkorda","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","3. Prep Sufisiente","2. Prep Naton","3. Prep Sufisiente","3. Prep Sufisiente","2. Prep Naton","4. Dala barak","3. Dala ruma","5. Sempre","2. Dala balu","5. Sempre","4. Dala barak","2. Dala balu","4. Dala barak","4. Dala barak","2. Dala balu","2. Dala balu","1. Nunka","4. Dala barak","1. Nunka","3. Dala ruma","3. Dala ruma","c. La aplikavel",NA,"1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","1. Sin","Complete"
