participant_id_3,time_point,knowledge_general_score,knowledge_warning_score,knowledge_appropriate_score,knowledge_helpful_score,system_support_score,status,inclusive_status,region,attitude_general_score,attitude_acceptability_score,attitude_genderroles_score,attitude_profroles_score,empathy_score,confidence_score,practice_score
3,1,57.89473684210527,100,20,40,83.33333333333334,One & two only,One & two inclusive,Gleno,60,78.57142857142857,66.66666666666666,45.83333333333333,45.3125,17.5,NA
466,2,63.1578947368421,44.44444444444444,20,0,100,One & two only,One & two inclusive,Gleno,45,71.42857142857143,45.83333333333333,62.5,51.5625,35,100
10,2,89.47368421052632,100,80,60,100,One & two only,One & two inclusive,Railaco,57.49999999999999,71.42857142857143,45.83333333333333,66.66666666666666,65.625,55.00000000000001,NA
11,2,73.68421052631578,100,80,60,33.33333333333333,Two only,NA,Gleno,75,57.14285714285714,45.83333333333333,37.5,48.4375,62.5,100
12,2,78.94736842105263,100,100,90,100,One & two only,One & two inclusive,Railaco,82.5,100,45.83333333333333,79.16666666666666,67.1875,62.5,NA
468,2,63.1578947368421,77.77777777777779,80,50,100,One & two only,One & two inclusive,Gleno,42.5,64.28571428571429,66.66666666666666,58.333333333333336,56.25,65,100
18,2,89.47368421052632,88.88888888888889,80,90,83.33333333333334,Two only,NA,Gleno,57.49999999999999,78.57142857142857,62.5,50,71.875,65,100
26,2,84.21052631578947,100,100,90,100,One & two only,One & two inclusive,Gleno,65,7.142857142857142,37.5,83.33333333333334,79.6875,75,NA
27,2,68.42105263157895,66.66666666666666,20,70,100,All three,One & two inclusive,Gleno,65,35.714285714285715,45.83333333333333,37.5,75,65,NA
28,1,47.368421052631575,33.33333333333333,60,40,66.66666666666666,One & two only,One & two inclusive,Railaco,40,28.57142857142857,50,37.5,48.4375,57.49999999999999,NA
466,1,47.368421052631575,55.55555555555556,60,60,83.33333333333334,One & two only,One & two inclusive,Gleno,45,35.714285714285715,62.5,54.166666666666664,46.875,42.5,88.88888888888889
21,1,57.89473684210527,88.88888888888889,80,50,100,One only,NA,Gleno,60,50,58.333333333333336,75,45.3125,17.5,100
9,1,89.47368421052632,77.77777777777779,100,90,100,All three,One & two inclusive,Gleno,57.49999999999999,57.14285714285714,75,66.66666666666666,78.125,55.00000000000001,NA
